term,estimate,std_error,t_stat,p_value,sig
(Intercept),0.926778,0.005844,158.586,0.0,***
tenure,0.089869,0.000249,360.92,0.0,***
multiple,-0.103495,0.015634,-6.62,0.0,***
high_api,0.140008,0.002589,54.078,0.0,***
edu_num,0.461999,0.001768,261.312,0.0,***
tenure & multiple,0.012642,0.003935,3.213,0.001314,**
tenure & high_api,0.00996,0.000393,25.344,0.0,***
tenure & multiple & high_api,-0.009134,0.004597,-1.987,0.046922,*
